id,wei,KV1,KV2,KV3,KV4,KV5,KV6,KV7,KV8,KV9,KV10,KV11,KV12,KV13,KV14,KV15,KV16,KV17,KV18,KV19,KV20,KV21,KV22,KV23,KV24,KV25,KV26,KV27,KV28,KV29,KV30,KV31,KV32,KV33,KV34,KV35,KV36,KV37,KV38,KV39,KV40,KV41,KV42,KV43,KV44,KV45,KV46,KV47,KV48,KV49,KV50,KV51,KV52,none
1,1,2.6045317,3.10853048,3.2626426,3.91492545,3.45926486,3.59659917,5.07819498,3.79016561,4.15725089,1.69605702,4.29284974,3.06393475,4.48188513,2.50476791,3.73554277,3.6412691,2.76098377,2.19328642,2.24110419,1.72053639,1.51893217,2.39116339,2.58748639,2.71011449,2.61757857,2.20043245,2.38391573,2.8466846,2.64265851,4.92709128,5.81820935,5.42154082,4.35426606,3.3332602,5.12539129,4.20826406,5.24464268,3.32554936,3.31566408,3.4349902,3.73065897,4.07464465,3.44873326,3.39728729,2.7847717,4.18790168,3.84840297,4.3924538,2.63510138,3.47454289,2.97082561,0,0
3,1,1.14243995,2.2647633,1.4710346,2.12788494,0.36477472,0.81784203,3.43412127,2.47814246,1.68071001,-0.33073267,1.21648955,0.63691937,2.37796057,2.22807392,1.96847959,1.83991146,1.04169126,0.17944412,0.42347685,-0.1323857,-0.18929058,1.93339104,1.46541571,1.21737723,0.5615088,1.19262215,1.10182108,1.85700395,1.1533312,2.41424895,2.69254948,3.77076291,2.42239345,2.10641,3.35675383,2.55654331,2.8845894,1.86546733,2.16095638,1.56978516,2.86896133,2.36247248,3.11695583,2.38574885,1.44381707,2.91622793,2.94938909,2.76960769,0.65986744,2.12028906,0.40342798,0,0
4,1,1.61266546,2.36749549,1.61369532,1.7846509,0.83810646,1.25224953,2.42334287,2.38976171,2.17023721,0.25978195,1.02654778,0.72234617,1.1813151,2.61448783,2.00090755,1.97090846,1.6526247,1.86623348,2.24589645,1.25087368,1.42154903,2.27538077,1.95387129,1.54411793,1.77332564,1.65275687,1.67872988,-0.08495469,1.6504822,1.53352788,1.53022419,2.16702808,1.85120239,2.40147954,2.20715477,2.37068178,1.99109837,2.47764974,2.16459778,1.55660406,1.75318027,2.06440695,2.59524116,2.87950307,2.14415154,2.63360939,2.08202729,1.79245199,1.3420435,1.48524153,0.82307768,0,0
5,1,1.68799688,2.69893766,2.39809387,2.39165969,2.16420035,2.03975295,2.90527053,2.88623595,3.50683682,1.05616207,2.33552466,1.59393142,2.0841276,2.65700056,2.32513086,2.97694808,2.15113591,0.9104396,1.4360703,0.45119084,0.00878,2.50554955,2.57290144,2.63299472,1.89422135,2.49174398,2.42177918,1.09583799,2.06326788,3.10771114,3.21415695,3.41203007,3.48278005,2.53456923,3.35489745,2.87876608,3.69951153,3.15705262,3.67134436,2.77252506,2.07888692,3.38764493,3.47811712,2.59340382,1.83295719,3.63761821,2.44044897,2.33666667,1.95609509,1.93792295,1.90194889,0,0
6,1,1.5566982,2.89291255,2.24573488,2.45674896,1.65273762,2.17954209,3.65336938,2.84576029,3.15732587,0.63098509,1.35998433,0.61293849,1.80571948,2.22235923,2.33106973,3.18357124,2.27971173,2.18647274,2.22816235,1.44619031,1.65415185,2.75568234,2.62865087,2.18169181,2.01547807,2.13213019,2.22208218,0.80937816,2.06533262,2.45412374,3.23079422,3.28757481,2.78759201,2.70301504,3.5170175,4.22274724,3.07885986,3.65995272,4.10283931,2.81965612,2.62958216,3.79149576,2.99065665,3.55942584,2.38739155,3.54757536,2.50770612,3.00403847,2.33337787,2.08934887,1.28478008,0,0
7,1,2.81124143,3.93434303,3.5312194,3.44620799,3.16352247,3.37790954,4.68235623,3.92572882,4.67871795,2.07212374,3.5240017,2.39485496,3.22866973,3.59321808,3.44315288,4.65770401,3.46059894,3.64973613,3.70803528,2.76992448,2.74752735,4.12760147,4.92546985,3.66732093,3.58653934,3.30903065,3.6143946,1.39263305,3.40916931,3.54992711,5.36767305,5.21268794,4.67984631,3.74762843,4.29410123,5.24534919,3.83804122,4.87992091,5.31702027,3.87868165,4.36235466,4.76725368,5.15562539,4.53687856,3.54530597,5.37421343,4.04946332,4.53655561,4.75323665,3.78076393,2.26562788,0,0
8,1,1.13855588,2.95171263,1.24539297,2.03373717,-0.80019336,-0.4296922,3.20280769,2.61997346,1.25282711,-1.08048636,-0.3432593,-1.0753875,0.23193351,2.54938995,1.25455072,2.69652215,0.8330002,2.3802266,2.33984567,1.02100916,1.64897419,2.7303631,2.49614024,1.37118068,1.67852768,1.51145696,1.3513463,-0.20659587,1.60234483,1.32479438,2.24673231,2.80345173,1.69767134,1.83560524,3.03379794,2.50404642,2.06351847,3.0321531,2.72865441,0.99155769,2.59081089,2.76072365,3.18938749,2.81066415,2.01214358,3.19037843,3.10454814,2.82268044,1.86381348,1.71388484,-0.85253514,0,0
9,1,2.4943444,3.38713734,2.39898,2.29373192,1.72085684,2.21409134,2.91862687,3.23287592,3.27427209,1.17818711,2.03412543,1.28988699,1.78380285,3.17441654,2.50765652,3.14311728,2.90996032,3.95048338,3.52641583,2.57441082,2.85782974,3.85008165,4.22359381,2.82347349,2.94957515,2.72946377,2.95698329,0.12073234,2.74717866,2.09443065,3.02733226,2.85087333,2.90936217,2.97316918,2.76790282,4.33761446,2.41558022,3.82546766,3.57579027,2.61781156,2.95145972,3.61274438,4.34513467,3.97049587,2.92849551,4.06906674,3.06005436,2.95292461,3.08295597,2.33884252,1.38535134,0,0
10,1,3.36016152,2.95706486,3.05197659,2.95555897,3.62116908,4.49241263,3.48854487,3.34430018,3.98065353,3.09669358,4.12952338,3.98356261,3.34120714,3.23239726,3.62333006,3.42867129,3.33348827,4.30621582,4.62739122,4.40063905,3.83132193,3.0111899,4.45164582,3.27361875,3.87110173,3.47911636,3.70253998,1.71027402,3.14802318,3.04869804,3.11114808,3.10466669,3.1074356,3.47298729,2.58724606,3.89881883,2.99335379,3.68609091,3.82306155,3.60912748,3.07386752,3.82212362,3.19401034,3.17641026,4.01778846,3.19193341,3.09269176,3.12992782,3.17550134,2.79935155,3.65051815,0,0
12,1,0.95857988,1.90717383,1.0653087,1.46304436,0.53439718,1.19284134,1.96419768,1.97556572,1.8326409,-0.34204955,0.28742837,0.34872935,0.35182987,1.59222921,1.28684799,2.67025199,1.01449538,1.41496406,1.32911266,0.57947197,0.67465067,1.78844723,2.1186674,1.0568311,0.69458357,0.68250246,1.34117462,-0.50255147,2.01233452,0.43255804,1.13100025,1.5047154,1.34241848,1.3043225,2.15075655,2.06407471,1.53074982,2.36413533,2.60655589,1.14842413,1.04006698,2.32423404,2.07787498,1.8675414,1.38787861,3.00279915,1.20526096,1.78562527,1.22920239,0.83723946,0.80443975,0,0
13,1,3.31928536,3.74777138,2.81960008,3.09482813,2.23674056,2.74446096,3.99237709,3.89314893,3.41924434,1.54437935,2.6397804,1.82769669,2.82131432,3.50335621,3.50538085,3.70418923,2.63540646,3.9701655,3.92324088,2.5853206,3.27949638,3.32315103,4.18629683,3.19190643,3.15926594,3.26588365,2.94078793,0.81144944,2.65826599,3.3172746,4.71030124,4.29272308,3.13225563,3.36690321,3.86072207,3.91732887,3.71393768,3.45242241,3.15241173,2.74988872,4.26914895,4.06556283,3.88513059,4.11937998,3.34573294,4.1419886,4.29603477,4.21583617,2.92034058,3.28033157,1.82621663,0,0
14,1,1.81653709,2.21066811,2.24463605,1.60924853,1.78937239,2.23776007,1.95864215,2.74581079,3.33326488,1.05813837,2.05809246,1.47831217,1.29714502,1.96301823,3.03990399,3.072823,2.07054461,2.32294378,2.35331149,1.45536587,0.93253733,2.72448666,3.61920979,2.03441589,2.07054904,2.27081382,2.86971522,-0.42852904,2.27715135,1.24742084,1.2934357,1.28555257,2.05376219,1.95065078,1.59370573,2.53372541,1.69818806,3.14976418,3.08762784,2.4333178,1.00502393,3.44038847,2.11650832,1.89074316,1.40676226,2.55790286,1.33832139,1.43707859,0.91522768,0.42627242,1.57611727,0,0
15,1,3.61776652,4.30618729,4.32304578,3.58153083,4.78228535,5.84551567,4.57434125,4.79690266,6.53884606,3.68444999,4.92009968,4.07377402,3.96490931,4.26258694,5.32021645,4.83395664,4.97101596,4.04086685,4.44146211,3.76723526,3.63130166,4.05472839,5.82967132,4.84405084,4.81139937,4.62330343,5.69897524,1.25750327,4.47250744,4.10263971,4.34246544,4.18658354,4.82374013,4.26198759,3.70517528,5.88025975,3.3813122,6.55569799,6.24474964,5.05605063,3.9490574,5.89672667,5.06368678,4.183658,3.86787027,5.47575003,3.53230483,4.0961045,3.57898776,3.60620959,3.91554323,0,0
16,1,2.38020263,3.35984303,3.76992877,3.29104919,2.94602532,2.99933325,4.02197481,3.97910933,4.74243474,1.65123609,3.15182902,2.44895412,2.94738412,2.58002645,3.23657628,3.44984382,3.42029767,1.89669116,1.23144929,1.61377331,1.08229949,2.62985866,2.76808217,3.0326125,2.43966113,2.34036475,2.87478416,0.70870092,2.70401725,3.19490517,3.55703665,3.45847565,3.95161144,3.66090158,3.85263687,3.75789675,3.27379509,3.95510483,3.95803408,3.65137775,2.77129541,3.58357596,3.33845392,2.56341598,2.18718079,4.04296396,3.12944101,3.30619812,2.33904404,2.51505687,2.37459723,0,0
17,1,1.54835701,2.42879851,1.39347283,2.10533981,1.30362883,1.90254476,2.07438742,2.3634465,2.46470074,0.60581195,1.03521722,0.60842521,1.34821062,2.42877754,1.66670195,2.32441886,1.81767645,1.47458797,1.09059855,0.98972933,1.19499811,1.74973957,2.20471297,1.60751909,0.9563038,2.06155117,1.88535526,0.54501989,1.55458574,1.34352641,2.00340696,1.98608917,1.84687572,1.86058579,2.35656138,1.98931008,1.70130789,2.91826191,2.50692758,1.7229833,1.50930472,2.49516683,2.31900318,1.95917239,2.41675005,2.70018641,1.71848211,1.56428304,1.78550801,0.78914775,1.4621283,0,0
18,1,3.31434196,3.61060306,3.66991318,3.82158971,4.28283549,4.42525741,4.3402544,4.41545295,4.93932646,2.80778689,4.31805026,3.39449039,4.27591347,3.38644574,4.22933528,5.20342904,3.6360712,3.62381033,3.4885425,3.0069887,2.7411718,3.16350918,4.09012617,3.7147542,3.79576103,3.20860849,3.52701812,1.95957692,3.4208948,4.45849944,5.24928738,4.75993168,4.64484293,4.1511672,4.49235315,4.78693037,4.60607196,4.6511867,3.96524299,4.63165197,4.44894955,4.52165892,3.82754113,4.24799042,3.76560826,4.68779411,4.60665284,4.59605807,3.71326549,3.95531556,3.27496459,0,0
19,1,3.49641133,4.36739707,4.00324516,3.8231463,4.00586849,4.91934107,5.52856112,4.98905597,5.83343195,2.87754869,4.33253282,3.49184856,3.79306802,3.7709508,4.36195702,4.81330528,4.0941801,3.31076757,3.44753642,3.02274366,2.7463177,3.76819556,5.06553113,4.24593958,3.98753695,3.57555782,4.24336197,1.61634263,4.47231892,3.91561251,5.61969916,4.80489742,5.00070289,3.98856769,4.61341721,5.59833537,3.73188415,6.0815343,6.29665312,4.51874468,3.97966074,5.70498771,5.63079164,4.14854661,3.43156369,5.64905261,3.95672404,4.44366391,3.68012034,3.90728198,3.27357687,0,0
21,1,3.53970049,4.41840953,4.52168166,4.26904087,3.88584498,4.91963697,5.1235071,4.70142462,5.49870544,3.07115426,4.35544023,3.20904302,4.23740087,4.43030787,4.52540775,4.68982231,4.31520764,5.33774171,5.30484112,4.15494892,4.53100462,4.27139628,6.33225512,4.63701657,5.10664419,4.92589013,4.80752524,1.82891674,4.08953256,4.17956773,5.56907648,5.51165574,4.81958906,4.38319766,4.57440314,6.25033314,4.16584687,6.19449126,6.11542973,4.59873467,5.31925454,5.91049606,5.5680992,5.02822903,4.43816569,5.86806076,5.57727059,5.79191228,4.55325661,4.6972926,3.19325042,0,0
22,1,1.99291228,2.89179865,3.11450127,3.72131091,2.74835559,2.7457751,3.64823916,3.36488182,4.03046688,1.41455274,2.73707899,1.93790729,2.59723239,3.19781049,2.99129696,4.08835133,2.78070763,2.12424369,1.90814716,1.56231543,0.71253501,2.60284618,2.75776592,2.63916683,2.60257472,2.38015614,2.76849675,1.1092773,2.42130007,3.23599864,3.8573251,3.8433611,3.94561755,3.11882363,3.98934303,3.36006641,3.70051697,4.02343207,3.94185272,3.95119786,2.8871571,3.80180979,3.33690505,2.8346415,2.35104917,4.1785593,2.99832247,3.36845328,2.54693857,2.59486927,1.55084358,0,0
23,1,2.98680982,3.36807138,3.75746959,3.57211965,3.59256302,3.70938715,4.14911931,3.53711201,3.79612036,2.49913903,3.66219251,2.90455723,3.6904083,3.50655818,3.80189115,3.91171406,3.08707354,3.72309767,4.4674947,3.13504968,3.46308921,3.25673617,4.27929719,3.78867459,3.66442605,3.26169246,3.4259858,2.54751309,3.13948478,4.04769331,4.62152407,4.81335116,3.68720026,3.27339021,3.95485952,3.88376797,3.70801612,4.0075589,4.05699603,3.4989567,4.21589355,4.10128705,4.53579263,4.06322325,3.6776417,4.2634283,4.155015,4.35768155,3.18052472,4.08558701,2.76921387,0,0
24,1,-0.57295522,-0.31150476,-0.42056027,0.10947791,-0.57613154,-0.37610509,-0.10515284,0.2850546,-0.14847093,-1.37848096,-0.98492477,-0.64949948,-0.01149321,-0.72816556,-0.3811584,-0.80890979,-0.84451872,-1.05259737,-1.27897073,-1.05283502,-1.49783828,0.26830902,-1.12945562,-1.00236116,-1.25838653,-0.14511781,-0.60743475,-0.11540147,-0.72378972,-0.25451587,-1.17825333,-0.07741166,0.14289811,-0.2597319,-0.06820194,-0.48745552,0.01499837,-0.49963153,0.42591644,-0.19620208,-1.73234928,-0.14090058,-0.827897,-0.77213208,-0.89632098,-0.6156646,-0.76905997,-1.51707299,-1.52998663,-1.53400795,0.44423976,0,0
25,1,3.31232408,3.93392868,3.72528409,4.02220248,3.63091297,3.95355454,4.84543479,4.4492301,5.15163144,2.50024437,3.87653916,2.93668494,4.28708538,3.72768678,4.07912444,4.40899825,3.46414196,4.01940843,3.92544053,3.09433198,3.26284239,4.09330416,4.52347226,3.86459125,3.88347692,3.47739468,3.56513356,2.36471426,3.61454949,4.99330347,6.344139,5.92614271,4.65431525,4.16730126,4.86874368,5.85317787,4.87411766,4.63152491,4.11193297,4.32245476,5.62217272,5.22749049,4.93239252,5.18128108,4.10719367,5.27048372,5.59095863,5.27241082,3.68209469,5.20292716,2.96965545,0,0
26,1,1.80322729,1.99232573,1.45971265,2.48601453,1.34035312,1.60036597,2.57825524,2.6105505,1.76226788,0.7210779,1.60841479,1.77362123,1.96497548,1.60293208,1.48856883,1.02071399,1.51105229,1.3443952,0.88808953,1.55810846,1.39611938,2.17546269,1.4984317,1.10162586,1.2346797,1.56703207,1.21204702,1.83071085,0.69190806,1.97157478,2.47034851,2.23912105,2.08341854,1.81220009,1.94810492,1.78700423,2.16665434,1.80595111,1.83762258,1.53171907,1.50734443,1.42509928,1.91289245,1.33523709,1.64111891,1.68747334,2.12502094,1.59245213,1.1084711,1.45191325,0.97925482,0,0
